Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
Aruba,ABW,1960,,
Africa Eastern and Southern,AFE,1960,21290586003.0,162.7263255
Afghanistan,AFG,1960,537777811.1,59.7732337
Africa Western and Central,AFW,1960,10404135069.0,107.9307217
Angola,AGO,1960,,
Albania,ALB,1960,,
Andorra,AND,1960,,
Arab World,ARB,1960,,
United Arab Emirates,ARE,1960,,
Argentina,ARG,1960,,
Armenia,ARM,1960,,
American Samoa,ASM,1960,,
Antigua and Barbuda,ATG,1960,,
Australia,AUS,1960,18606786874.0,1810.61923
Austria,AUT,1960,6592693841.0,935.4604269
Azerbaijan,AZE,1960,,
Burundi,BDI,1960,195999990.0,70.0519099
Belgium,BEL,1960,11658722591.0,1273.691659
Benin,BEN,1960,226195579.4,93.02270027
Burkina Faso,BFA,1960,330442817.2,68.4247344
Bangladesh,BGD,1960,4274893913.0,89.03523943
Bulgaria,BGR,1960,,
Bahrain,BHR,1960,,
"Bahamas, The",BHS,1960,169803921.6,1550.267699
Bosnia and Herzegovina,BIH,1960,,
Belarus,BLR,1960,,
Belize,BLZ,1960,28071888.56,304.9038598
Bermuda,BMU,1960,84466654.08,1902.402119
Bolivia,BOL,1960,373879363.6,102.2377224
Brazil,BRA,1960,17030465539.0,235.9468833
Barbados,BRB,1960,,
Brunei Darussalam,BRN,1960,,
Bhutan,BTN,1960,,
Botswana,BWA,1960,30412308.99,60.493958
Central African Republic,CAF,1960,112155598.9,74.68734697
Canada,CAN,1960,40461721693.0,2259.294285
Central Europe and the Baltics,CEB,1960,,
Switzerland,CHE,1960,9522746719.0,1787.360348
Channel Islands,CHI,1960,,
Chile,CHL,1960,4110000000.0,505.3493255
China,CHN,1960,59716467625.0,89.52054151
Cote d'Ivoire,CIV,1960,546203561.6,155.8996328
Cameroon,CMR,1960,614206071.0,118.6431452
"Congo, Dem. Rep.",COD,1960,3359404118.0,220.3139899
"Congo, Rep.",COG,1960,131731862.6,129.3703364
Colombia,COL,1960,4031152977.0,251.0415229
Comoros,COM,1960,,
Cabo Verde,CPV,1960,,
Costa Rica,CRI,1960,507513830.0,381.3636818
Caribbean small states,CSS,1960,1880306125.0,448.2564174
Cuba,CUB,1960,,
Curacao,CUW,1960,,
Cayman Islands,CYM,1960,,
Cyprus,CYP,1960,,
Czech Republic,CZE,1960,,
Germany,DEU,1960,,
Djibouti,DJI,1960,,
Dominica,DMA,1960,,
Denmark,DNK,1960,,
Dominican Republic,DOM,1960,672399700.0,204.1148714
Algeria,DZA,1960,2723593385.0,246.3037513
East Asia & Pacific (excluding high income),EAP,1960,81346966779.0,90.90209241
Early-demographic dividend,EAR,1960,157943000000.0,161.1653515
East Asia & Pacific,EAS,1960,154609000000.0,148.4236231
Europe & Central Asia (excluding high income),ECA,1960,,
Europe & Central Asia,ECS,1960,,
Ecuador,ECU,1960,2069465326.0,455.4623888
"Egypt, Arab Rep.",EGY,1960,,
Euro area,EMU,1960,244833000000.0,923.1873412
Eritrea,ERI,1960,,
Spain,ESP,1960,12072126075.0,396.3922533
Estonia,EST,1960,,
Ethiopia,ETH,1960,,
European Union,EUU,1960,,
Fragile and conflict affected situations,FCS,1960,,
Finland,FIN,1960,5224102196.0,1179.353011
Fiji,FJI,1960,112328422.1,285.4742861
France,FRA,1960,62225478001.0,1334.689512
Faroe Islands,FRO,1960,,
"Micronesia, Fed. Sts.",FSM,1960,,
Gabon,GAB,1960,141468978.4,282.4171795
United Kingdom,GBR,1960,73233967692.0,1397.594803
Georgia,GEO,1960,,
Ghana,GHA,1960,1217086835.0,183.4280075
Gibraltar,GIB,1960,,
Guinea,GIN,1960,,
"Gambia, The",GMB,1960,,
Guinea-Bissau,GNB,1960,,
Equatorial Guinea,GNQ,1960,,
Greece,GRC,1960,4335186017.0,520.3227443
Grenada,GRD,1960,,
Greenland,GRL,1960,,
Guatemala,GTM,1960,1043599900.0,252.7561712
Guam,GUM,1960,,
Guyana,GUY,1960,170215248.2,297.6764225
High income,HIC,1960,1069220000000.0,1372.007466
"Hong Kong SAR, China",HKG,1960,1320796652.0,429.4428744
Honduras,HND,1960,335650000.0,164.6443995
Heavily indebted poor countries (HIPC),HPC,1960,17360551606.0,107.3399177
Croatia,HRV,1960,,
Haiti,HTI,1960,273187200.0,70.66108456
Hungary,HUN,1960,,
IBRD only,IBD,1960,327204000000.0,170.4505039
IDA & IBRD total,IBT,1960,363569000000.0,158.1254075
IDA total,IDA,1960,36900947650.0,97.20955584
IDA blend,IDB,1960,12063624832.0,100.2031755
Indonesia,IDN,1960,,
IDA only,IDX,1960,25623664426.0,98.85275686
Isle of Man,IMN,1960,,
India,IND,1960,37029883876.0,82.18860274
Not classified,INX,1960,,
Ireland,IRL,1960,1939329775.0,685.6147124
"Iran, Islamic Rep.",IRN,1960,4199134390.0,191.680825
Iraq,IRQ,1960,1684121535.0,231.0258708
Iceland,ISL,1960,248434097.0,1414.982269
Israel,ISR,1960,2598500000.0,1229.174748
Italy,ITA,1960,40385288344.0,804.4926233
Jamaica,JAM,1960,699050679.0,429.2541461
Jordan,JOR,1960,,
Japan,JPN,1960,44307342950.0,475.3190756
Kazakhstan,KAZ,1960,,
Kenya,KEN,1960,791265458.8,97.44550102
Kyrgyz Republic,KGZ,1960,,
Cambodia,KHM,1960,637142865.7,111.3424408
Kiribati,KIR,1960,,
St. Kitts and Nevis,KNA,1960,12366563.61,241.5391631
"Korea, Rep.",KOR,1960,3958190759.0,158.2493033
Kuwait,KWT,1960,,
Latin America & Caribbean (excluding high income),LAC,1960,68335857322.0,348.6692686
Lao PDR,LAO,1960,,
Lebanon,LBN,1960,,
Liberia,LBR,1960,,
Libya,LBY,1960,,
St. Lucia,LCA,1960,,
Latin America & Caribbean,LCN,1960,84505840124.0,384.4166116
Least developed countries: UN classification,LDC,1960,,
Low income,LIC,1960,,
Liechtenstein,LIE,1960,,
Sri Lanka,LKA,1960,1409873950.0,142.7796219
Lower middle income,LMC,1960,91051691348.0,92.09921949
Low & middle income,LMY,1960,340511000000.0,151.6954418
Lesotho,LSO,1960,34579308.41,41.30036454
Late-demographic dividend,LTE,1960,191871000000.0,174.9208106
Lithuania,LTU,1960,,
Luxembourg,LUX,1960,703925705.9,2242.015817
Latvia,LVA,1960,,
"Macao SAR, China",MAC,1960,,
St. Martin (French part),MAF,1960,,
Morocco,MAR,1960,2037150716.0,164.800827
Monaco,MCO,1960,,
Moldova,MDA,1960,,
Madagascar,MDG,1960,673081724.1,131.9931654
Maldives,MDV,1960,,
Middle East & North Africa,MEA,1960,,
Mexico,MEX,1960,13040000000.0,345.2305408
Marshall Islands,MHL,1960,,
Middle income,MIC,1960,327379000000.0,155.6096657
North Macedonia,MKD,1960,,
